timestep,reward
5,-0.546
2966,-1.716
6073,2.981
9000,0.379
12044,2.542
15143,1.798
18231,1.595
21292,-1.261
24826,2.082
28235,4.125
31545,1.04
34755,0.466
37867,2.336
40867,3.788
44033,4.375
47206,2.953
50318,3.185
53485,0.522
56592,-0.198
59852,0.903
63206,2.372
66696,4.947
70262,5.042
74093,3.214
78052,3.004
