timestep,reward
4,-0.335
46,0.36
71,0.035
103,-0.23
140,-0.24
170,0.355
209,0.08
245,-0.03
268,0.145
291,-0.005
328,-0.205
360,-0.145
381,-0.245
415,0.19
435,0.07
453,-0.17
475,0.155
523,-0.3
565,-0.205
587,0.11
618,-0.05
650,0.265
688,-0.125
707,-0.055
731,0.215
749,-0.225
768,0.295
802,-0.17
826,0.27
870,0.01
905,0.185
928,-0.165
954,0.06
984,-0.105
1015,-0.265
1048,-0.135
1082,0.045
1113,0.025
1145,0.23
1177,-0.11
1210,0.22
1232,-0.395
1257,0.21
1301,0.225
1342,-0.285
1367,0.14
1394,0.08
1424,0.205
1473,0.135
1505,0.205
1546,-0.245
1569,0.365
1606,0.16
1633,-0.405
1663,-0.17
1703,-0.02
1738,0.02
1777,0.1
1815,0.0
1851,-0.185
1888,-0.485
1924,-0.32
1963,0.115
1996,-0.09
2032,-0.06
2056,0.015
2086,0.11
2105,-0.095
2134,-0.27
2162,0.075
2185,-0.03
2201,-0.595
2228,0.43
2258,-0.865
2292,0.335
2310,0.345
2326,0.23
2346,-0.06
2379,0.12
2413,0.055
2441,0.38
2471,-0.155
2502,-0.06
2526,-0.24
2558,-0.01
2591,0.145
2612,-0.245
2640,0.44
2665,-0.005
2688,0.075
2726,-0.085
2761,0.25
2789,-0.34
2821,-0.2
2860,-0.13
2897,0.075
2926,0.06
2958,-0.05
2985,-0.145
3006,-0.105
